"filename", "language", "Python", "XML", "Django txt", "toml", "JSON", "CSS", "JavaScript", "Django HTML", "Markdown", "comment", "blank", "total"
"/home/kubakin/Diplom/service/app/static/admin/css/vendor/select2/select2.css", "CSS", 0, 0, 0, 0, 0, 425, 0, 0, 0, 0, 57, 482
"/home/kubakin/Diplom/service/app/static/admin/css/vendor/select2/select2.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/kubakin/Diplom/service/app/static/admin/css/widgets.css", "CSS", 0, 0, 0, 0, 0, 465, 0, 0, 0, 8, 102, 575
"/home/kubakin/Diplom/service/app/static/admin/fonts/LICENSE.txt", "Django txt", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 34, 203
"/home/kubakin/Diplom/service/app/static/admin/fonts/README.txt", "Django txt", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/README.txt", "Django txt", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/kubakin/Diplom/service/app/static/admin/img/calendar-icons.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/kubakin/Diplom/service/app/static/admin/img/gis/move_vertex_off.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/kubakin/Diplom/service/app/static/admin/img/gis/move_vertex_on.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/kubakin/Diplom/service/app/static/admin/img/icon-addlink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-alert.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-calendar.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/kubakin/Diplom/service/app/static/admin/img/icon-changelink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-clock.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/kubakin/Diplom/service/app/static/admin/img/icon-deletelink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
